Name,Rank,G,W.L,AB,H,BA
Air Force,1,53,27-26,1969,678,0.344
Morehead St.,2,59,36-23,2198,729,0.332
St. John's (NY),3,55,42-13,1984,641,0.32299999999999995
New Mexico St.,4,57,35-22,2018,650,0.322
Virginia,5,59,43-16,2061,662,0.321
UNC Greensboro,6,60,36-24,2076,665,0.32
BYU,7,59,38-21,2185,696,0.319
New Mexico,8,58,30-27-1,2086,664,0.318
Jackson St.,9,56,38-17-1,1823,579,0.318
Fresno St.,10,60,35-25,2206,700,0.317
Tennessee Tech,11,62,41-21,2280,723,0.317
Kentucky,12,66,43-23,2235,706,0.316
San Diego St.,13,63,42-21,2228,700,0.314
Furman,14,61,33-28,2167,676,0.312
CSU Bakersfield,15,56,32-24,1935,600,0.31
Delaware,16,57,34-23,1979,613,0.31
ETSU,17,59,30-29,2118,655,0.309
Arizona,18,59,38-21,2055,633,0.308
Wake Forest,19,63,43-20,2250,693,0.308
Western Mich.,20,53,24-29,1922,591,0.307
Southern Miss.,21,66,50-16,2332,716,0.307
Middle Tenn.,22,55,24-31,1980,606,0.306
McNeese,23,57,37-20,1958,598,0.305
Louisiana Tech,24,56,36-20,1945,594,0.305
Texas Tech,25,62,45-17,2162,659,0.305
South Alabama,26,61,40-21,2115,644,0.304
Western Caro.,27,56,28-28,1943,591,0.304
Murray St.,28,59,29-30,2112,638,0.302
Charlotte,29,58,34-24,2030,611,0.301
Sam Houston St.,30,67,44-23,2247,676,0.301
Southeast Mo. St.,31,55,29-26,1934,581,0.3
Fairleigh Dickinson,32,46,12-34,1546,463,0.299
DBU,33,63,42-21,2157,645,0.299
UNLV,34,56,20-36,1981,592,0.299
Navy,35,54,37-17,1800,534,0.297
Minnesota,36,57,36-21,1996,592,0.297
North Florida,37,57,33-24,1988,589,0.29600000000000004
Eastern Ky.,38,56,24-32,2009,595,0.29600000000000004
UTSA,39,57,29-28,2014,595,0.295
Baylor,40,57,34-23,1913,565,0.295
Mercer,41,56,39-17,1927,569,0.295
Cornell,42,38,21-17,1265,373,0.295
UT Martin,43,55,25-30,1930,569,0.295
Wofford,44,58,28-30,1975,581,0.294
N.C. Central,45,50,22-28,1643,482,0.293
SIUE,46,52,23-29,1807,530,0.293
Kent St.,47,55,37-18,1917,562,0.293
Oral Roberts,48,59,43-16,2073,607,0.293
Loyola Marymount,49,56,38-18,1905,557,0.292
Rice,50,64,33-31,2196,641,0.292
UMBC,51,48,23-25,1601,467,0.292
East Carolina,52,60,32-28,2067,601,0.29100000000000004
Oregon St.,53,62,56-6,2054,597,0.29100000000000004
Columbia,54,41,18-23,1366,397,0.29100000000000004
Houston,55,63,42-21,2122,616,0.29
Fairfield,56,55,31-24,1874,544,0.29
N.C. A&T,57,53,28-25,1778,516,0.29
New Orleans,58,59,30-28-1,2068,600,0.29
VCU,59,57,35-22,1996,579,0.29
Michigan St.,60,52,29-23,1805,523,0.29
Samford,61,59,33-26,1996,578,0.29
Yale,62,52,34-18,1758,509,0.29
LSU,63,72,52-20,2425,702,0.289
Fla. Atlantic,64,57,35-21-1,1943,562,0.289
Old Dominion,65,58,37-21,2002,579,0.289
George Washington,66,58,31-27,1979,572,0.289
Bethune-Cookman,67,61,36-25,2006,578,0.28800000000000003
Louisville,68,65,53-12,2200,633,0.28800000000000003
Dartmouth,69,40,22-17-1,1315,378,0.287
California,70,54,25-29,1844,530,0.287
Austin Peay,71,58,28-30,2051,589,0.287
Lamar University,72,58,33-25,1982,569,0.287
Utah,73,51,27-24,1791,514,0.287
West Virginia,74,62,36-26,2136,613,0.287
Georgia Tech,75,55,27-28,1963,562,0.28600000000000003
Florida A&M,76,53,27-26,1807,517,0.28600000000000003
South Fla.,77,61,42-19,2098,600,0.28600000000000003
Arkansas,78,64,45-19,2194,627,0.28600000000000003
UIC,79,56,39-17,1873,535,0.28600000000000003
Kennesaw St.,80,57,25-32,1972,563,0.285
Alabama St.,81,56,31-25,1966,561,0.285
Saint Mary's (CA),82,57,37-20,1988,567,0.285
San Diego,83,54,35-18-1,1874,534,0.285
Binghamton,84,43,30-13,1418,404,0.285
Texas St.,85,59,29-30,2078,591,0.284
North Carolina,86,63,49-14,2145,610,0.284
Iowa,87,61,39-22,2089,594,0.284
Saint Louis,88,57,35-22,1945,553,0.284
Northern Ky.,89,58,25-33,2038,579,0.284
Mississippi St.,90,67,40-27,2282,648,0.284
Coastal Caro.,91,57,37-19-1,1910,542,0.284
James Madison,92,51,24-27,1706,484,0.284
