YEAR,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,AIR_TIME,DISTANCE,ARRIVAL_DELAY
2015,12,1,2,1730,HNL,SFO,3.0,276.0,2398,-21.0
2015,12,1,2,17,LAS,HNL,4.0,361.0,2762,-2.0
2015,12,1,2,102,HNL,ITO,-4.0,36.0,216,-8.0
2015,12,1,2,108,HNL,KOA,-6.0,28.0,163,-9.0
2015,12,1,2,206,HNL,OGG,-4.0,22.0,100,-1.0
2015,12,1,2,103,HNL,LIH,-4.0,20.0,102,-11.0
2015,12,1,2,202,HNL,ITO,-5.0,36.0,216,-9.0
2015,12,1,2,113,HNL,LIH,-7.0,22.0,102,-2.0
2015,12,1,2,286,HNL,OGG,-6.0,22.0,100,-1.0
2015,12,1,2,205,OGG,HNL,-5.0,25.0,100,-3.0
2015,12,1,2,107,KOA,HNL,-7.0,29.0,163,-7.0
2015,12,1,2,104,LIH,HNL,-8.0,17.0,102,-10.0
2015,12,1,2,101,ITO,HNL,-4.0,36.0,216,-3.0
2015,12,1,2,114,HNL,OGG,-8.0,21.0,100,-12.0
2015,12,1,2,332,HNL,ITO,-7.0,38.0,216,-8.0
2015,12,1,2,338,HNL,KOA,-7.0,28.0,163,-8.0
2015,12,1,2,1231,HNL,LAX,12.0,292.0,2556,-3.0
2015,12,1,2,833,PDX,HNL,3.0,371.0,2603,7.0
2015,12,1,2,110,LIH,HNL,-3.0,20.0,102,-2.0
2015,12,1,2,200,GUM,HNL,-7.0,410.0,3801,-15.0
2015,12,1,2,156,HNL,OGG,-5.0,22.0,100,-9.0
2015,12,1,2,285,OGG,HNL,-5.0,22.0,100,-5.0
2015,12,1,2,201,ITO,HNL,-9.0,36.0,216,-9.0
2015,12,1,2,118,HNL,KOA,-6.0,30.0,163,-8.0
2015,12,1,2,123,HNL,LIH,-7.0,23.0,102,-6.0
2015,12,1,2,72,HNL,SFO,-6.0,265.0,2398,-32.0
2015,12,1,2,122,HNL,ITO,-5.0,36.0,216,-6.0
2015,12,1,2,19,SMF,HNL,-1.0,337.0,2462,5.0
2015,12,1,2,115,OGG,HNL,-10.0,22.0,100,-11.0
2015,12,1,2,1581,SFO,HNL,-6.0,317.0,2398,-22.0
2015,12,1,2,306,HNL,OGG,-8.0,22.0,100,-10.0
2015,12,1,2,51,SFO,HNL,8.0,330.0,2398,12.0
2015,12,1,2,1150,HNL,LAX,-2.0,277.0,2556,-35.0
2015,12,1,2,10,HNL,LAX,5.0,288.0,2556,-7.0
2015,12,1,2,35,PHX,HNL,-3.0,395.0,2917,1.0
2015,12,1,2,342,HNL,ITO,1.0,36.0,216,-1.0
2015,12,1,2,31,LAX,HNL,-8.0,337.0,2556,-13.0
2015,12,1,2,337,KOA,HNL,-6.0,28.0,163,-6.0
2015,12,1,2,333,HNL,LIH,-5.0,19.0,102,-4.0
2015,12,1,2,368,HNL,KOA,-7.0,29.0,163,-6.0
2015,12,1,2,270,HNL,LAX,-3.0,291.0,2556,-5.0
2015,12,1,2,155,OGG,HNL,4.0,28.0,100,10.0
2015,12,1,2,11,SFO,HNL,-4.0,328.0,2398,6.0
2015,12,1,2,611,LAX,HNL,0.0,336.0,2556,-4.0
2015,12,1,2,124,LIH,HNL,-5.0,22.0,102,-2.0
2015,12,1,2,117,KOA,HNL,-11.0,29.0,163,-6.0
2015,12,1,2,320,HNL,OGG,-6.0,21.0,100,-5.0
2015,12,1,2,1,LAX,HNL,-5.0,338.0,2556,-12.0
2015,12,1,2,21,SEA,HNL,15.0,378.0,2677,34.0
2015,12,1,2,120,HNL,KOA,-7.0,29.0,163,-12.0
2015,12,1,2,7,LAS,HNL,-5.0,370.0,2762,-10.0
2015,12,1,2,145,OGG,HNL,-7.0,22.0,100,-8.0
2015,12,1,2,121,ITO,HNL,-6.0,37.0,216,-9.0
2015,12,1,2,641,LAX,HNL,7.0,315.0,2556,-1.0
2015,12,1,2,860,HNL,SEA,-8.0,291.0,2677,-36.0
2015,12,1,2,827,OAK,HNL,4.0,321.0,2409,7.0
2015,12,1,2,1175,SFO,HNL,0.0,312.0,2398,-8.0
2015,12,1,2,303,HNL,LIH,-9.0,21.0,102,-11.0
2015,12,1,2,43,OAK,HNL,68.0,337.0,2409,67.0
2015,12,1,2,123,DFW,HNL,-2.0,511.0,3784,15.0
2015,12,1,2,15,EWR,HNL,6.0,622.0,4962,0.0
2015,12,1,2,47,OAK,HNL,-3.0,332.0,2409,-6.0
2015,12,1,2,318,HNL,KOA,-5.0,28.0,163,-8.0
2015,12,1,2,219,ORD,HNL,13.0,519.0,4243,1.0
2015,12,1,2,304,LIH,HNL,-3.0,18.0,102,-6.0
2015,12,1,2,253,IAH,HNL,28.0,492.0,3904,22.0
2015,12,1,2,341,ITO,HNL,-3.0,43.0,216,0.0
2015,12,1,2,367,KOA,HNL,-7.0,31.0,163,-2.0
2015,12,1,2,382,HNL,ITO,6.0,35.0,216,5.0
2015,12,1,2,851,SEA,HNL,18.0,387.0,2677,39.0
2015,12,1,2,157,OGG,HNL,-8.0,22.0,100,-10.0
2015,12,1,2,509,HNL,LIH,-5.0,24.0,102,-3.0
2015,12,1,2,520,HNL,OGG,-2.0,21.0,100,-5.0
2015,12,1,2,168,HNL,KOA,-7.0,30.0,163,-4.0
2015,12,1,2,119,KOA,HNL,-14.0,32.0,163,-15.0
2015,12,1,2,3,LAX,HNL,-4.0,341.0,2556,2.0
2015,12,1,2,51,JFK,HNL,-5.0,665.0,4983,15.0
2015,12,1,2,1224,LAX,HNL,6.0,333.0,2556,-6.0
2015,12,1,2,15,SAN,HNL,8.0,355.0,2614,14.0
2015,12,1,2,345,HNL,LIH,-10.0,22.0,102,-11.0
2015,12,1,2,151,ITO,HNL,-10.0,36.0,216,-9.0
2015,12,1,2,25,PDX,HNL,-10.0,379.0,2603,23.0
2015,12,1,2,2218,LAX,HNL,1.0,330.0,2556,-14.0
2015,12,1,2,246,HNL,OGG,-6.0,20.0,100,-5.0
2015,12,1,2,208,HNL,KOA,-4.0,26.0,163,-5.0
2015,12,1,2,383,ITO,HNL,0.0,35.0,216,2.0
2015,12,1,2,837,ATL,HNL,15.0,604.0,4502,31.0
2015,12,1,2,5,DFW,HNL,-1.0,513.0,3784,25.0
2015,12,1,2,199,OGG,HNL,-8.0,24.0,100,-3.0
2015,12,1,2,143,HNL,LIH,-6.0,21.0,102,0.0
2015,12,1,2,346,LIH,HNL,-6.0,23.0,102,-7.0
2015,12,1,2,2210,SEA,HNL,5.0,378.0,2677,36.0
2015,12,1,2,300,SFO,HNL,14.0,309.0,2398,15.0
2015,12,1,2,328,HNL,OGG,-7.0,22.0,100,-12.0
2015,12,1,2,1664,MSP,HNL,1.0,514.0,3972,-11.0
2015,12,1,2,692,PHX,HNL,-5.0,390.0,2917,-9.0
2015,12,1,2,305,OGG,HNL,-7.0,25.0,100,-7.0
2015,12,1,2,292,HNL,ITO,-5.0,36.0,216,-3.0
2015,12,1,2,612,HNL,LAX,-2.0,284.0,2556,-21.0
2015,12,1,2,328,DEN,HNL,0.0,438.0,3365,-12.0
2015,12,1,2,1221,HNL,LAX,-6.0,288.0,2556,-20.0
