medication_name,opioid_drug,antibiotic_drug,high_risk,antipsychotic_drug
PHENTERMINE/TOPIRAMATE,N,N,N,N 
PHENTOLAMINE MESYLATE,N,N,N,N 
PHENYLEPHRINE HCL,N,N,N,N 
PHENYLEPHRINE HCL/PROMETH HCL,N,N,Y,N 
PHENYTOIN,N,N,N,N 
PHENYTOIN SODIUM,N,N,N,N 
PHENYTOIN SODIUM EXTENDED,N,N,N,N 
PHOSPHORUS #1,N,N,N,N 
PHYTONADIONE,N,N,N,N 
PILOCARPINE HCL,N,N,N,N 
PIMECROLIMUS,N,N,N,N 
PIMOZIDE,N,N,N,Y 
PINDOLOL,N,N,N,N 
PIOGLITAZONE HCL,N,N,N,N 
PIOGLITAZONE HCL/GLIMEPIRIDE,N,N,N,N 
PIOGLITAZONE HCL/METFORMIN HCL,N,N,N,N 
PIPERACILLIN SODIUM/TAZOBACTAM,N,Y,N,N 
"PIPERACILLIN-TAZO-DEXTROSE,ISO",N,Y,N,N 
PIRFENIDONE,N,N,N,N 
PIROXICAM,N,N,N,N 
PITAVASTATIN CALCIUM,N,N,N,N 
PLERIXAFOR,N,N,N,N 
PN W-CA64/IRON CB&GL/FA/DSS/DH,N,N,N,N 
PN85/IRON CB&ASP G/FA/DHA/FISH,N,N,N,N 
PNEUMOC 13-VAL CONJ-DIP CRM/PF,N,N,N,N 
PNV #14/FERROUS FUM/FOLIC ACID,N,N,N,N 
"PNV #15/IRON FUM,PS/FOLIC ACID",N,N,N,N 
PNV #19/IRON PS&HEME/FOLIC/DHA,N,N,N,N 
PNV #30/IRON CARB&ASPG/FA/OM3,N,N,N,N 
PNV #35/IRON/FA #6/DHA,N,N,N,N 
PNV #38/IRON FUM/FOLATE/DHA,N,N,N,N 
PNV #78/IRON ASP GLY/FA#1/DHA,N,N,N,N 
PNV #86/IRON POLY/FA/DHA/EPA,N,N,N,N 
PNV #87/IRON BISGLY/FA/DHA,N,N,N,N 
PNV 11-IRON FUM-FOLIC ACID-OM3,N,N,N,N 
"PNV 18/FE,CARB/FA/DSS/UBI/DHA",N,N,N,N 
PNV COMBO #22/IRON/FA/OM3/DHA,N,N,N,N 
