medication_name,opioid_drug,antibiotic_drug,high_risk,antipsychotic_drug
ABACAVIR SULFATE,N,N,N,N 
ABACAVIR SULFATE/LAMIVUDINE,N,N,N,N 
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,N,N,N,N 
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,N,N,N,N 
ABATACEPT,N,N,N,N 
ABATACEPT/MALTOSE,N,N,N,N 
ABIRATERONE ACETATE,N,N,N,N 
ABOBOTULINUMTOXINA,N,N,N,N 
ACAMPROSATE CALCIUM,N,N,N,N 
ACARBOSE,N,N,N,N 
ACEBUTOLOL HCL,N,N,N,N 
ACETAMINOPHEN WITH CODEINE,Y,N,N,N 
ACETAMINOPHEN/PHENYLTOLX,N,N,N,N 
ACETAZOLAMIDE,N,N,N,N 
ACETIC ACID,N,N,N,N 
ACETIC ACID/ALUMINUM ACETATE,N,N,N,N 
ACETIC ACID/HYDROCORTISONE,N,N,N,N 
ACETIC ACID/OXYQUINOLINE,N,N,N,N 
ACETOHYDROXAMIC ACID,N,N,N,N 
ACETYLCYSTEINE,N,N,N,N 
ACITRETIN,N,N,N,N 
ACLIDINIUM BROMIDE,N,N,N,N 
ACYCLOVIR,N,N,N,N 
ACYCLOVIR SODIUM,N,N,N,N 
ACYCLOVIR/HYDROCORTISONE,N,N,N,N 
ADALIMUMAB,N,N,N,N 
ADAPALENE,N,N,N,N 
ADAPALENE/BENZOYL PEROXIDE,N,N,N,N 
ADEFOVIR DIPIVOXIL,N,N,N,N 
ADO-TRASTUZUMAB EMTANSINE,N,N,N,N 
AFATINIB DIMALEATE,N,N,N,N 
AFLIBERCEPT,N,N,N,N 
AGALSIDASE BETA,N,N,N,N 
ALBENDAZOLE,N,N,N,N 
ALBIGLUTIDE,N,N,N,N 
ALBUMIN HUMAN,N,N,N,N 
ALBUTEROL SULFATE,N,N,N,N 
ALCAFTADINE,N,N,N,N 
ALCLOMETASONE DIPROPIONATE,N,N,N,N 
ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALDESLEUKIN,N,N,N,N 
ALECTINIB HYDROCHLORIDE,N,N,N,N 
ALEMTUZUMAB,N,N,N,N 
ALENDRONATE SODIUM,N,N,N,N 
ALENDRONATE SODIUM/VITAMIN D3,N,N,N,N 
ALFUZOSIN HCL,N,N,N,N 
ALGLUCOSIDASE ALFA,N,N,N,N 
ALIROCUMAB,N,N,N,N 
ALISKIREN HEMIFUMARATE,N,N,N,N 
ALISKIREN/AMLODIPIN/HCTHIAZIDE,N,N,N,N 
ALISKIREN/AMLODIPINE BESYLATE,N,N,N,N 
ALISKIREN/HYDROCHLOROTHIAZIDE,N,N,N,N 
ALITRETINOIN,N,N,N,N 
ALLOPURINOL,N,N,N,N 
ALMOTRIPTAN MALATE,N,N,N,N 
ALOGLIPTIN BENZ/METFORMIN HCL,N,N,N,N 
ALOGLIPTIN BENZ/PIOGLITAZONE,N,N,N,N 
ALOGLIPTIN BENZOATE,N,N,N,N 
ALOSETRON HCL,N,N,N,N 
ALPHA-1-PROTEINASE INHIBITOR,N,N,N,N 
ALPRAZOLAM,N,N,N,N 
ALPROSTADIL,N,N,N,N 
ALTRETAMINE,N,N,N,N 
ALUMINUM CHLORIDE,N,N,N,N 
AMANTADINE HCL,N,N,N,N 
AMBRISENTAN,N,N,N,N 
AMCINONIDE,N,N,N,N 
AMIFOSTINE CRYSTALLINE,N,N,N,N 
AMIKACIN SULFATE,N,Y,N,N 
AMILORIDE HCL,N,N,N,N 
