Rank,Name,G,W.L,R,PG
1,Morehead St.,59,36-23,525,8.9
2,Air Force,53,27-26,465,8.8
3,New Mexico,58,30-27-1,497,8.6
4,Southern Miss.,66,50-16,544,8.2
5,Tennessee Tech,62,41-21,504,8.1
6,BYU,59,38-21,477,8.1
7,South Alabama,61,40-21,488,8.0
8,New Mexico St.,57,35-22,453,7.9
9,Jackson St.,56,38-17-1,440,7.9
10,Virginia,59,43-16,459,7.8
11,Murray St.,59,29-30,456,7.7
12,Arizona,59,38-21,453,7.7
13,Wake Forest,63,43-20,481,7.6
14,Fresno St.,60,35-25,455,7.6
15,Louisiana Tech,56,36-20,418,7.5
16,Delaware,57,34-23,422,7.4
17,St. John's (NY),55,42-13,406,7.4
18,DBU,63,42-21,464,7.4
19,Kentucky,66,43-23,484,7.3
20,UNC Greensboro,60,36-24,438,7.3
21,Florida St.,69,46-23,502,7.3
22,Mercer,56,39-17,405,7.2
23,ETSU,59,30-29,426,7.2
24,McNeese,57,37-20,410,7.2
25,Louisville,65,53-12,464,7.1
26,Texas Tech,62,45-17,442,7.1
27,North Carolina,63,49-14,449,7.1
28,Southeast Mo. St.,55,29-26,388,7.1
29,Liberty,55,32-23,386,7.0
30,Wofford,58,28-30,406,7.0
31,Fla. Atlantic,57,35-21-1,397,7.0
32,Eastern Ky.,56,24-32,386,6.9
33,Missouri St.,63,43-20,433,6.9
34,Old Dominion,58,37-21,398,6.9
35,Yale,52,34-18,356,6.8
36,Oral Roberts,59,43-16,402,6.8
37,Navy,54,37-17,366,6.8
38,Austin Peay,58,28-30,391,6.7
39,Alabama St.,56,31-25,377,6.7
40,Furman,61,33-28,410,6.7
41,Western Caro.,56,28-28,376,6.7
42,Eastern Ill.,56,21-35,375,6.7
43,LSU,72,52-20,482,6.7
44,San Diego St.,63,42-21,421,6.7
45,James Madison,51,24-27,339,6.6
46,SIUE,52,23-29,345,6.6
47,TCU,68,50-18,451,6.6
48,Charlotte,58,34-24,384,6.6
49,Coastal Caro.,57,37-19-1,377,6.6
50,Sam Houston St.,67,44-23,443,6.6
51,Middle Tenn.,55,24-31,363,6.6
52,Vanderbilt,62,36-25-1,409,6.6
53,Arkansas,64,45-19,422,6.6
54,Southeastern La.,59,37-22,389,6.6
55,UTSA,57,29-28,374,6.6
56,Texas St.,59,29-30,386,6.5
57,Michigan,59,42-17,385,6.5
58,Virginia Tech,55,23-32,356,6.5
59,Michigan St.,52,29-23,335,6.4
60,Georgia Tech,55,27-28,354,6.4
61,Houston,63,42-21,403,6.4
62,Lamar University,58,33-25,370,6.4
63,N.C. Central,50,22-28,314,6.3
64,FIU,58,31-27,364,6.3
65,CSU Bakersfield,56,32-24,351,6.3
66,UCF,62,40-22,388,6.3
67,Grambling,52,22-30,325,6.3
68,Saint Louis,57,35-22,356,6.2
69,Columbia,41,18-23,256,6.2
70,Saint Mary's (CA),57,37-20,354,6.2
71,Northern Ky.,58,25-33,360,6.2
72,LIU Brooklyn,50,22-28,309,6.2
73,Florida A&M,53,27-26,327,6.2
74,Iowa,61,39-22,376,6.2
75,Duke,58,30-28,357,6.2
76,Kansas St.,55,29-26,338,6.1
77,Clemson,63,42-21,387,6.1
78,Campbell,57,25-32,350,6.1
79,Oklahoma,59,35-24,362,6.1
81,Fairleigh Dickinson,46,12-34,282,6.1
82,San Diego,54,35-18-1,331,6.1
83,Bethune-Cookman,61,36-25,373,6.1
86,FGCU,63,43-20,385,6.1
87,New Orleans,59,30-28-1,360,6.1
88,Utah,51,27-24,311,6.1
89,UT Martin,55,25-30,335,6.1
90,Texas A&M,64,41-23,389,6.1
91,N.C. A&T,53,28-25,322,6.1
92,UIC,56,39-17,339,6.1
93,William & Mary,57,32-25,345,6.1
94,NC State,61,36-25,369,6.0
95,Baylor,57,34-23,344,6.0
96,Central Ark.,60,34-26,362,6.0
97,Monmouth,48,20-28,289,6.0
98,Western Mich.,53,24-29,319,6.0
99,Arkansas St.,55,28-27,331,6.0
101,Oregon St.,62,56-6,373,6.0
102,UNCW,59,30-29,353,6.0
103,North Florida,57,33-24,341,6.0
104,Rice,64,33-31,382,6.0
105,West Virginia,62,36-26,370,6.0
106,Xavier,61,34-27,364,6.0
107,East Carolina,60,32-28,358,6.0
109,SFA,57,29-28,340,6.0
110,Kent St.,55,37-18,328,6.0
111,Ga. Southern,59,38-21,351,5.9
112,Jacksonville St.,56,30-26,333,5.9
113,Kennesaw St.,57,25-32,338,5.9
114,Ball St.,58,30-28,342,5.9
115,Bryant,55,29-26,324,5.9
